"","A Few","All","Always","Each","Every","Few","Frequently","Infrequently","Many","Most","Never","No","Occasionally","Rarely","Seldom","Several","Some","Sometimes","Usually","Mostly","Often"
"70","8","100","98","100","100","8","84","2","39","77","0","0","28","2","6","5","20","21","83","25",30
"71","22","100","90","100","100","28","75","10","71","83","5","0","15","10","10","62","51","25","75","90",95
"72","25","100","100","72","72","28","81","11","85","84","0","0","37","5","7","84","56","31","89","75",80
"73","86","0","92","37","21","13","76","10","55","57","0","0","25","6","15","14","36","19","80","70",61
"74","15","100","99","70","100","15","89","19","25","70","0","0","12","6","15","95","20","70","62","80",2
"75","4","100","100","100","100","10","55","18","81","37","0","0","11","40","14","90","4","50","90","72",75
"76","5","100","100","100","100","10","55","13","90","82","0","0","15","10","8","40","81","12","65","100",79
"77","59","36","100","28","71","30","70","15","47","39","0","42","10","3","8","37","57","30","84","60",70
"78","58","35","100","40","75","65","97","6","29","62","0","34","48","3","3","35","57","34","95","90",66
"79","3","100","100","100","100","3","70","15","29","82","0","0","10","15","10","4","13","40","90","75",100
"80","5","100","100","100","100","10","66","10","60","70","0","0","20","5","3","35","20","20","70","71",63
"81","24","100","100","100","100","25","91","11","100","82","0","0","40","2","14","39","30","50","90","18",85
"82","2","100","100","100","100","2","73","16","60","90","0","0","55","24","18","3","15","75","88","90",81
"83","8","100","100","100","100","8","77","27","89","81","0","0","21","7","11","8","18","22","20","74",80
"84","17","100","100","100","100","5","75","10","61","80","0","0","25","10","5","8","53","50","65","60",80
"85","65","76","66","73","69","63","72","6","28","24","20","87","8","3","12","72","84","32","75","78",3
"86","30","100","100","100","100","24","50","20","70","13","0","0","20","10","10","61","22","30","70","75",93
"87","10","100","93","100","100","20","37","10","66","66","0","90","20","9","23","33","15","39","81","88",90
"88","3","60","100","100","100","10","65","5","100","85","0","0","15","5","5","20","65","40","60","75",89
"89","25","90","89","70","95","20","85","80","65","70","79","15","81","88","94","20","30","77","88","65",65
"90","7","100","100","100","100","7","59","15","75","75","0","0","24","5","7","10","33","31","66","80",81
"91","15","20","100","60","100","25","60","10","60","75","0","0","25","5","5","65","70","10","90","30",75
"92","15","100","100","100","100","19","70","20","75","61","0","0","20","2","1","40","30","50","60","88",75
"93","10","100","100","100","100","10","12","70","75","75","0","0","63","2","3","5","25","29","65","85",75
"94","20","85","100","100","25","34","75","20","67","81","0","0","36","16","10","40","50","39","87","80",75
"95","44","100","100","100","100","38","85","8","100","83","3","0","58","3","7","64","44","31","88","93",75
"96","25","61","90","66","87","18","79","25","76","88","0","0","31","92","88","34","24","32","71","78",75
"97","10","100","100","100","100","10","69","16","50","75","0","0","8","4","6","10","25","24","60","28",75
